rinok;role_definition;role_table
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_sved_lk/1;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_sved_lk/1
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_sved_lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_sved_lk
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_1;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_1
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_1/1;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_1/1
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/4;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/4
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/1;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/1
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/2;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/2
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/3;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_uprdan_2/3
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty/1;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty/2;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty/3;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_segmenty
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu/1;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu/1
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu/2;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu/2
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu/3;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_fsbu/3
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/1;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/1
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/2;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/2
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/3;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/3
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/4;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/3
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/5;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/5
lk;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/6;http://www.cbr.ru/xbrl/nso/lk/rep/2024-12-20/tab/sr_msfo/5
